,,,,,,,,,,Number
  Condominiums & Other Apartments,28871,27444,26336,24474,22506,20786,19388,17974,17016,16208
  Landed Properties,19573,19623,19466,19315,18733,18313,18130,17841,17580,17556
  Other Types Of Dwelling,2754,2685,2665,2639,2592,2515,2505,2501,2352,2447
65-69 Years,229396,221296,212101,203969,198020,182425,161198,145817,128879,112396
  Total HDB Dwellings,188645,181847,173904,166911,162333,149609,132053,119928,106322,92727
    HDB 1- And 2-Room Flats,16448,15680,14855,13963,13182,12029,9991,8922,7812,6866
    HDB 3-Room Flats,41986,41384,40493,40076,40443,38220,34948,32647,29976,26807
    HDB 4-Room Flats,74732,71624,68151,64843,62612,57367,50428,45325,39957,34502
    HDB 5-Room And Executive Flats,55479,53159,50405,48029,45863,41764,36424,32616,28147,24188
  Condominiums & Other Apartments,20783,19671,18789,18007,16736,15103,13213,11333,9527,8089
  Landed Properties,17033,16892,16606,16439,16342,15292,13729,12513,11218,9888
  Other Types Of Dwelling,2935,2886,2802,2612,2609,2421,2203,2043,1812,1692
70-74 Years,170008,150127,135546,119494,103796,102631,106815,105746,104414,100073
  Total HDB Dwellings,137939,121738,109823,96995,84462,84178,87994,87588,86768,83082
    HDB 1- And 2-Room Flats,13389,11608,10435,9061,7774,7620,7858,7819,7804,7427
    HDB 3-Room Flats,34498,31302,29048,26170,23169,23651,25391,26005,26361,25898
    HDB 4-Room Flats,52127,45727,41009,36278,31278,31086,32357,31852,31289,29648
    HDB 5-Room And Executive Flats,37925,33101,29331,25486,22095,21671,22224,21695,21065,19860
  Condominiums & Other Apartments,15054,13305,11883,10080,8228,7614,7491,7166,6734,6365
  Landed Properties,14054,12501,11473,10376,9217,8872,9180,8897,8842,8570
  Other Types Of Dwelling,2961,2583,2367,2043,1889,1967,2150,2095,2070,2056
75-79 Years,90990,94600,93327,91953,87955,81211,76294,70619,67675,66909
  Total HDB Dwellings,73394,76526,75648,74697,71583,66019,62050,57446,55218,54675
    HDB 1- And 2-Room Flats,7377,7791,7665,7619,7205,6664,6113,5777,5540,5494
    HDB 3-Room Flats,20234,21606,21850,21805,21281,19760,18562,17148,16629,16466
    HDB 4-Room Flats,26905,27926,27409,26897,25498,23323,21987,20419,19681,19696
    HDB 5-Room And Executive Flats,18878,19203,18724,18376,17487,16174,15291,13978,13244,12919
  Condominiums & Other Apartments,7268,7311,7128,6823,6199,5664,5082,4491,4118,3850
  Landed Properties,7927,8169,7892,7917,7736,7367,7068,6711,6434,6396
  Other Types Of Dwelling,2401,2594,2659,2516,2437,2161,2094,1971,1905,1988
80-84 Years,66513,62293,57103,54341,53556,51785,48418,46199,44115,42145
  Total HDB Dwellings,52601,49238,45012,43021,42687,41364,38433,36452,34738,33086
    HDB 1- And 2-Room Flats,5598,5209,4828,4559,4500,4385,4006,3825,3577,3396
    HDB 3-Room Flats,15381,14414,13148,12554,12322,11826,10972,10240,9808,9382
    HDB 4-Room Flats,18664,17442,16036,15400,15424,15055,13999,13342,12660,12034
    HDB 5-Room And Executive Flats,12958,12173,11000,10508,10393,10058,9406,8983,8616,8191
  Condominiums & Other Apartments,4971,4553,4069,3761,3395,3151,2860,2705,2552,2497
  Landed Properties,6255,5925,5621,5411,5318,5216,5099,5005,4814,4524
  Other Types Of Dwelling,2686,2577,2401,2148,2156,2054,2026,2037,2011,2038
85-89 Years,36586,33935,31991,30481,29086,27494,25486,23235,21503,19756
  Total HDB Dwellings,27997,25905,24217,23120,22030,20791,19121,17480,16192,14816
    HDB 1- And 2-Room Flats,2928,2690,2541,2440,2261,2131,1963,1794,1645,1517
    HDB 3-Room Flats,7946,7271,6676,6331,6012,5614,5132,4657,4380,4045
    HDB 4-Room Flats,10266,9572,9003,8515,8098,7643,7054,6436,5970,5361
    HDB 5-Room And Executive Flats,6857,6372,5997,5834,5633,5380,4947,4549,4150,3846
  Condominiums & Other Apartments,2425,2215,2150,1986,1865,1693,1562,1379,1266,1132
  Landed Properties,3854,3735,3605,3465,3274,3060,2834,2566,2348,2188
  Other Types Of Dwelling,2310,2080,2019,1910,1917,1950,1969,1810,1697,1620
90 Years & Over,20875,19429,17786,16454,15157,14169,13390,12821,12050,11366
  Total HDB Dwellings,14636,13540,12414,11462,10404,9732,9138,8748,8158,7568
    HDB 1- And 2-Room Flats,1655,1569,1449,1345,1236,1140,1076,1038,980,868
    HDB 3-Room Flats,3890,3570,3262,3041,2765,2592,2397,2337,2177,2043
    HDB 4-Room Flats,5346,4898,4463,4140,3719,3468,3246,3070,2846,2645
    HDB 5-Room And Executive Flats,3745,3503,3240,2936,2666,2515,2395,2273,2124,1986
  Condominiums & Other Apartments,1255,1187,1094,1037,908,818,752,709,673,639
  Landed Properties,2453,2271,2080,1916,1798,1686,1592,1517,1458,1387
  Other Types Of Dwelling,2531,2431,2198,2039,2047,1933,1908,1847,1761,1772
